dataset,variant,variant_key,poison_percent,n_clients,n_attackers,ndcg@10,ndcg@20,recall@20,precision@20,acc@10,seed,best_training.local_epochs,best_training.learning_rate,best_preference.beta_Q,best_preference.lambda_uncertainty,best_preference.kappa
Gowalla,PCTRA w/o Risk-Adjusted Aggregation,without_risk_adjustment,50,30,15,0.1058950866095939,0.1404068494388879,0.1808852131512144,0.0928440607012035,0.5494505494505495,92,10,0.02,1.5,0.3,2.0
Gowalla,PCTRA w/o Uncertainty Quantification,without_uncertainty,0,30,0,0.1055405568452789,0.1402907513844223,0.1812179070691816,0.0920460491889063,0.5426478283621141,42,10,0.02,1.5,0.3,2.0
Gowalla,PCTRA w/o Uncertainty Quantification,without_uncertainty,10,30,3,0.1078571544308855,0.1410621210990314,0.1796027677607033,0.0922684458398744,0.5470957613814756,52,10,0.02,1.5,0.3,2.0
Gowalla,PCTRA w/o Uncertainty Quantification,without_uncertainty,20,30,6,0.1108899042343048,0.1445482342897207,0.1848841709784074,0.0937467294610152,0.5601779173207745,62,10,0.02,1.5,0.3,2.0
Gowalla,PCTRA w/o Uncertainty Quantification,without_uncertainty,30,30,9,0.1070502197778913,0.1415751755444793,0.1816143998218586,0.0926609105180533,0.5567765567765568,72,10,0.02,1.5,0.3,2.0
Gowalla,PCTRA w/o Uncertainty Quantification,without_uncertainty,50,30,15,0.1057737211424736,0.1404877148460505,0.1804340065514271,0.0926085818942961,0.5478806907378336,92,10,0.02,1.5,0.3,2.0
Swarm,PCTRA FULL,full,0,30,0,0.0709838129204453,0.1023131831825109,0.1900113533921,0.0426944310446481,0.3161815940397706,42,1,0.02,1.5,0.7,1.0
Swarm,PCTRA FULL,full,10,30,3,0.07152173518966,0.103239599384264,0.1927334823474506,0.0430079862786085,0.318754354933805,52,1,0.02,1.5,0.7,1.0
Swarm,PCTRA FULL,full,20,30,6,0.0691670940712005,0.101162223125743,0.1904439537749291,0.0427131907595004,0.3146272176662915,62,1,0.02,1.5,0.7,1.0
Swarm,PCTRA FULL,full,30,30,9,0.0688689370239058,0.1016752769707165,0.1923559170179722,0.0429168676636115,0.3081953154312054,72,1,0.02,1.5,0.7,1.0
