dataset,preference.beta_Q,preference.lambda_uncertainty,preference.kappa,training.local_epochs,training.learning_rate,ndcg@10,ndcg@20,recall@10,recall@20,precision@10,precision@20,acc@5,acc@10,acc@20
swarm,0.5,0.7,0.2,3,0.005,0.0658738442806607,0.0981215619052637,0.0907154031109681,0.1865278638087412,0.0410033767486734,0.0417510853835021,0.175108538350217,0.3032641903843061,0.4891997641635847
swarm,0.5,0.7,0.2,3,0.01,0.069672347038979,0.1021233149263075,0.0956274323793693,0.191493260843971,0.0425416733665648,0.0428177091708206,0.1855603794822318,0.3138768290721981,0.4996516052955995
swarm,0.5,0.7,0.2,3,0.02,0.0721699777991547,0.1042221695357584,0.0995197931956507,0.1951169969632101,0.0435118186203569,0.0429088277858176,0.1870611566704186,0.3185935573779279,0.5007235890014472
swarm,0.5,0.7,0.2,5,0.005,0.0681886066630239,0.1004118418684739,0.0937179219744962,0.1897716199697321,0.0423165567883368,0.0425255936109771,0.1767701130942809,0.3078737203194511,0.4918261242429115
swarm,0.5,0.7,0.2,5,0.01,0.0681792626554149,0.0996816426796387,0.093802945264031,0.1874169415927298,0.0422254381733397,0.0420941201693734,0.1770917082060352,0.3096424934340998,0.49021814868414
swarm,0.5,0.7,0.2,5,0.02,0.0715473596756883,0.1038106146257271,0.0981780660365374,0.1951465610832318,0.0440370906362223,0.0433939004127137,0.1895803183791606,0.3192903467867288,0.5008307873720319
swarm,0.5,0.7,0.2,10,0.005,0.071381233452193,0.1026917619989006,0.096638905485131,0.1896475893354551,0.043828053813582,0.0431955834271319,0.18641796644691,0.3176823712279573,0.4934876989869754
swarm,0.5,0.7,0.2,10,0.01,0.0698665178607304,0.1017805081313656,0.0956041914175451,0.1914621754380809,0.0428043093744975,0.042343356380983,0.1854531811116471,0.3115184649193332,0.4945596826928231
swarm,0.5,0.7,0.2,10,0.02,0.0690470425639148,0.1012796715403144,0.0950285142768303,0.1906087269987874,0.0428954279894945,0.04296242697111,0.1822908291793964,0.3136088331457362,0.495256472101624
swarm,0.5,0.7,0.5,1,0.005,0.0679321904956671,0.1003845130786181,0.0938106693997236,0.1899575466633423,0.0419360025727609,0.0424773543442139,0.1771453073913276,0.3085169105429597,0.4938092940987297
swarm,0.5,0.7,0.5,1,0.01,0.0694032475621892,0.1017613792711683,0.0944180245382985,0.1923578196165781,0.0427131907595004,0.0424049954440692,0.182934019402905,0.3113040681781637,0.495256472101624
swarm,0.5,0.7,0.5,1,0.02,0.0679367960553453,0.1002331784773109,0.0933880451505797,0.1890014674709217,0.0419413624912901,0.0424157152811277,0.178592485394222,0.3087313072841293,0.4934876989869754
swarm,0.5,0.7,0.5,3,0.005,0.070244376107714,0.1024070672759269,0.0965621562362274,0.1926433430225442,0.0430723053009594,0.0428954279894945,0.182237229994104,0.3158599989280163,0.4990084150720909
swarm,0.5,0.7,0.5,3,0.01,0.0713343713504171,0.1034222909370673,0.0985887683761281,0.1944909108458943,0.0432009433456611,0.042828429007879,0.1837916063675832,0.3159135981133086,0.4974540386986117
swarm,0.5,0.7,0.5,3,0.02,0.0705327715571975,0.102661063608135,0.0975086368874811,0.1930265721283759,0.0429168676636115,0.0427399903521466,0.1827196226617355,0.3145736184809991,0.4978292329956584
swarm,0.5,0.7,0.5,5,0.005,0.068602084898089,0.1007474407348784,0.0946546951435133,0.1906099523101074,0.0424183952403923,0.0423835557699523,0.1789140805059763,0.3116792624752104,0.4942380875810687
swarm,0.5,0.7,0.5,5,0.01,0.0693258811337745,0.101668496922757,0.0955045966278347,0.1920318990472172,0.0428632684783191,0.0427051508817066,0.1846491933322613,0.3155920030015544,0.4994908077397224
swarm,0.5,0.7,0.5,5,0.02,0.0709480642345597,0.103667014865873,0.09811583813615,0.1954147072223012,0.0427024709224419,0.042884708152436,0.1838988047381679,0.3163423915956477,0.5002411963338157
swarm,0.5,0.7,0.5,10,0.005,0.0695504754803953,0.1020510152688018,0.0959046104638454,0.1925756619339614,0.0423004770327491,0.0426569116149434,0.1821300316235193,0.3124296510693037,0.4963820549927641
swarm,0.5,0.7,0.5,10,0.01,0.0711814888819393,0.1033855504025239,0.0990741771147837,0.1949706018958571,0.0434957388647692,0.0430455057083132,0.1867931607439567,0.3193439459720212,0.5010451841132014
swarm,0.5,0.7,0.5,10,0.02,0.0705474036182668,0.1030763384758254,0.0968330296338871,0.1937063370260421,0.0430347858712547,0.0429892265637562,0.1823444283646888,0.3161279948544782,0.5006163906308624
swarm,0.5,0.7,1.0,1,0.005,0.0697635578881727,0.1015002110111337,0.0964937582246005,0.1903938747930497,0.0424237551589215,0.0423406764217183,0.1804684568794554,0.3132872380339819,0.4955780672133784
swarm,0.5,0.7,1.0,1,0.01,0.068544096021058,0.1014611252915874,0.0950473722684563,0.1935940568183938,0.0416733665648282,0.0423862357292169,0.1774669025030819,0.3083561129870826,0.4972396419574422
swarm,0.5,0.7,1.0,1,0.02,0.0707733256148693,0.1028931309525902,0.0957517574452546,0.1918824475030718,0.043243822693895,0.0429007879080238,0.188240338746851,0.3144664201104143,0.4961676582515946
swarm,0.5,0.7,1.0,3,0.005,0.0680738991825398,0.1004258511618351,0.0934024449451069,0.1893580827643365,0.0419574422468778,0.0423889156884815,0.1778420968001286,0.3087849064694216,0.4946132818781154
swarm,0.5,0.7,1.0,3,0.01,0.0703326386422143,0.102842097006478,0.0975150664248822,0.1940536208220439,0.042906147826553,0.0430294259527255,0.1827196226617355,0.3160743956691858,0.5008307873720319
swarm,0.5,0.7,1.0,3,0.02,0.0699628275607114,0.1024531558541933,0.0955151144285038,0.1924800484940864,0.0426756713297957,0.042772149863322,0.1835236104411212,0.3144664201104143,0.4972396419574422
swarm,0.5,0.7,1.0,5,0.005,0.0706304291320257,0.1032266172068717,0.0967542629249478,0.1938145856067501,0.0425899126333279,0.042772149863322,0.1860963713351557,0.3147344160368762,0.4987940183309213
swarm,0.5,0.7,1.0,5,0.01,0.069610699002913,0.1020724956504598,0.0939453111399659,0.191004805966438,0.0427078308409712,0.0427453502706758,0.1835772096264137,0.3122688535134266,0.4958460631398402
swarm,0.5,0.7,1.0,5,0.02,0.0667511663808853,0.0996853540195747,0.0934054180883621,0.1910061358285111,0.0415286487645387,0.0423004770327491,0.1745725464972932,0.3056761537224634,0.4953100712869164
swarm,0.5,0.7,1.0,10,0.005,0.0694938607975925,0.1008866003969278,0.0958635266375082,0.189285658803592,0.0425577531221525,0.0423272766253952,0.1808972503617945,0.3117864608457951,0.4946668810634078
swarm,0.5,0.7,1.0,10,0.01,0.0677863855962915,0.1002401791797867,0.0939148711771948,0.1905066190808498,0.0417859248539422,0.042187918743635,0.1786996837648067,0.3083025138017902,0.4943452859516535
swarm,0.5,0.7,1.0,10,0.02,0.0697132359023664,0.1015955095634619,0.0960548792562977,0.1908774279778176,0.0428043093744975,0.0426649514927373,0.1802540601382859,0.3132872380339819,0.4952028729163317
swarm,0.5,0.7,2.0,1,0.005,0.0688176455052348,0.1011202180740628,0.094822245346561,0.1918132446301037,0.0423058369512783,0.0423406764217183,0.1809508495470868,0.3101784852870236,0.4953100712869164
