dataset,preference.beta_Q,preference.lambda_uncertainty,preference.kappa,training.local_epochs,training.learning_rate,ndcg@10,ndcg@20,recall@10,recall@20,precision@10,precision@20,acc@5,acc@10,acc@20
Foursquare,0.5,0.5,0.2,5,0.01,0.07493941963501306,0.11453637101788262,0.09040873732406397,0.18335432126139906,0.055706633704161526,0.056571899464359296,0.24433456942727647,0.4330449114132674,0.6843840131850021
Foursquare,0.5,0.5,0.2,5,0.02,0.07895262005646624,0.11946612348846063,0.09392849335272409,0.18947563801343364,0.057478368355995055,0.05778739184177997,0.2554594149155336,0.44128553770086526,0.6847960444993819
Foursquare,0.5,0.5,0.2,10,0.005,0.08005783657956647,0.12074565433417997,0.09466733637693453,0.19188014138324472,0.05892047795632468,0.058487845076225786,0.2558714462299135,0.44787803873094356,0.6852080758137619
Foursquare,0.5,0.5,0.2,10,0.01,0.07609399085474478,0.11430298926704852,0.09352483195611132,0.18233774353679513,0.056283477544293366,0.056139266584260404,0.25092707045735474,0.43716522455706636,0.6740832303255048
Foursquare,0.5,0.5,0.2,10,0.02,0.08008881826248132,0.12009206613601554,0.09362829933473824,0.1880777127317269,0.056613102595797285,0.05727235269880511,0.26287597857437167,0.43675319324268647,0.6761433868974042
Foursquare,0.5,0.5,0.5,1,0.005,0.07640971008783451,0.11694985968213216,0.09276104292711168,0.1878513561340588,0.05628347754429337,0.05741656365883808,0.25298722702925425,0.43551709929954674,0.6852080758137619
Foursquare,0.5,0.5,0.5,1,0.01,0.0807083177702151,0.1206512545464342,0.0974031255640946,0.19107473603011374,0.05735475896168108,0.05733415739596209,0.2558714462299135,0.44870210135970334,0.6955088586732592
Foursquare,0.5,0.5,0.5,1,0.02,0.07871293133998124,0.11766530359302671,0.093965700243201,0.18539664414635498,0.05813761845900288,0.057210548001648126,0.25793160280181293,0.44870210135970334,0.6856201071281417
Foursquare,0.5,0.5,0.5,3,0.005,0.08262748305454137,0.12148894969356591,0.095948518236816,0.18877882657365788,0.05813761845900289,0.05679851668726823,0.2702925422332097,0.44787803873094356,0.6913885455294603
Foursquare,0.5,0.5,0.5,3,0.01,0.07503624973384126,0.11469147734483241,0.09197890617731379,0.18561425411167867,0.05562422744128554,0.055830243098475486,0.25051503914297485,0.4359291306139267,0.6823238566131026
Foursquare,0.5,0.5,0.5,3,0.02,0.07798301363841977,0.11771835232633074,0.0954034488524474,0.18957716032603944,0.05776679027606098,0.057478368355995055,0.24639472599917595,0.4441697569015245,0.6905644829007005
Foursquare,0.5,0.5,0.5,5,0.005,0.07681640808461915,0.11747154727226226,0.09274219265489737,0.18864702409497408,0.05644829007004532,0.05745776679027607,0.25257519571487436,0.43757725587144625,0.6934487021013597
Foursquare,0.5,0.5,0.5,5,0.01,0.08105764802850211,0.12101247743346925,0.0972953081686677,0.1918132784494152,0.05863205603625876,0.05803461063040792,0.2591676967449526,0.44746600741656367,0.695920889987639
